like1,parrtc01,parrrc01,parrtc02,parrrc02,simulation_0,chain
3.209546693766574,278.485477459408,0.002683834572369881,494.25210668233166,0.0013888877862282308,1.0,0.0
3.399302789280479,264.0545992516876,0.004861303282235932,334.90563761829515,0.0034005935275503323,1.0,0.0
2.5039757079800298,314.88835783046466,0.00788597569175583,337.39532707348246,0.008161171847868132,1.0,0.0
3.6192188285071367,289.6178164428413,0.0038180911818259593,375.768328464159,0.009115418567930515,1.0,0.0
3.994589491480186,208.92789102391367,0.006821840434951581,489.2182508466174,0.0014408386011559758,1.0,0.0
2.917380190635498,254.7120093183821,0.0010629421588660357,447.15543324440245,0.004171193967805327,1.0,0.0
4.365819043686002,355.4459524400206,0.008514555927736162,480.0425087136034,0.004178025249871386,1.0,0.0
4.366567592756199,232.74965445976255,0.00950208027150265,523.7173466201759,0.0011982513478988085,1.0,0.0
3.129144905581259,353.1764128369194,0.003159760403928445,502.27659183042806,0.0024204242269118266,1.0,0.0
3.0149817342735306,246.3742952052502,0.001072150038062642,418.11778400665935,0.003599528937827717,1.0,0.0
