Time,Temp,Mass,MassLossRate,MCC,DSC
 1.2000000E+001, 2.1000259E+001, 9.9910384E-001, 7.5390919E-005, 3.5091115E-014, 2.9841486E-001
 2.4000000E+001, 2.2000257E+001, 9.9819064E-001, 7.6809723E-005, 4.4726118E-014, 3.0164731E-001
 3.6000000E+001, 2.3000256E+001, 9.9726045E-001, 7.8220066E-005, 5.6913289E-014, 3.0485263E-001
 4.8000000E+001, 2.4000254E+001, 9.9631339E-001, 7.9620222E-005, 7.2303905E-014, 3.0802655E-001
 6.0000000E+001, 2.5000254E+001, 9.9534959E-001, 8.1008424E-005, 9.1709125E-014, 3.1116474E-001
 7.2000000E+001, 2.6000252E+001, 9.9436921E-001, 8.2382881E-005, 1.1613766E-013, 3.1426269E-001
 8.4000000E+001, 2.7000250E+001, 9.9337244E-001, 8.3741739E-005, 1.4684196E-013, 3.1731585E-001
 9.6000000E+001, 2.8000248E+001, 9.9235946E-001, 8.5083142E-005, 1.8537481E-013, 3.2031965E-001
 1.0800000E+002, 2.9000246E+001, 9.9133050E-001, 8.6405184E-005, 2.3365839E-013, 3.2326934E-001
 1.2000000E+002, 3.0000244E+001, 9.9028581E-001, 8.7705928E-005, 2.9406870E-013, 3.2616028E-001
 1.3200000E+002, 3.1000244E+001, 9.8922563E-001, 8.8983426E-005, 3.6953838E-013, 3.2898763E-001
 1.4400000E+002, 3.2000240E+001, 9.8815030E-001, 9.0235713E-005, 4.6368177E-013, 3.3174652E-001
 1.5600000E+002, 3.3000240E+001, 9.8706007E-001, 9.1460781E-005, 5.8094718E-013, 3.3443213E-001
 1.6800000E+002, 3.4000240E+001, 9.8595536E-001, 9.2656643E-005, 7.2680132E-013, 3.3703947E-001
 1.8000000E+002, 3.5000237E+001, 9.8483646E-001, 9.3821276E-005, 9.0795307E-013, 3.3956370E-001
 1.9200000E+002, 3.6000237E+001, 9.8370373E-001, 9.4952673E-005, 1.1326242E-012, 3.4199995E-001
 2.0400000E+002, 3.7000237E+001, 9.8255771E-001, 9.6048811E-005, 1.4108767E-012, 3.4434325E-001
