s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 6.3600000E+002, 7.3000259E+001, 9.8438466E-001, 8.0341873E-005, 2.9510562E-031, 3.0566722E-001
 6.4800000E+002, 7.4000252E+001, 9.8339659E-001, 8.4351188E-005, 4.9928558E-031, 3.1535801E-001
 6.6000000E+002, 7.5000244E+001, 9.8235977E-001, 8.8465044E-005, 8.4218725E-031, 3.2529348E-001
 6.7200000E+002, 7.6000237E+001, 9.8127300E-001, 9.2675917E-005, 1.4163403E-030, 3.3545426E-001
 6.8400000E+002, 7.7000237E+001, 9.8013514E-001, 9.6974924E-005, 2.3748546E-030, 3.4581780E-001
 6.9600000E+002, 7.8000229E+001, 9.7894526E-001, 1.0135171E-004, 3.9703426E-030, 3.5635784E-001
 7.0800000E+002, 7.9000221E+001, 9.7770238E-001, 1.0579437E-004, 6.6183740E-030, 3.6704418E-001
 7.2000000E+002, 8.0000221E+001, 9.7640592E-001, 1.1028935E-004, 1.1000636E-029, 3.7784269E-001
 7.3200000E+002, 8.1000214E+001, 9.7505528E-001, 1.1482141E-004, 1.8232160E-029, 3.8871512E-001
 7.4400000E+002, 8.2000206E+001, 9.7365010E-001, 1.1937352E-004, 3.0131640E-029, 3.9961857E-001
 7.5600000E+002, 8.3000198E+001, 9.7219026E-001, 1.2392687E-004, 4.9657200E-029, 4.1050598E-001
 7.6800000E+002, 8.4000198E+001, 9.7067589E-001, 1.2846079E-004, 8.1606870E-029, 4.2132562E-001
 7.8000000E+002, 8.5000191E+001, 9.6910733E-001, 1.3295276E-004, 1.3374159E-028, 4.3202132E-001
 7.9200000E+002, 8.6000183E+001, 9.6748525E-001, 1.3737846E-004, 2.1858058E-028, 4.4253230E-001
 8.0400000E+002, 8.7000175E+001, 9.6581054E-001, 1.4171175E-004, 3.5626396E-028, 4.5279357E-001
 8.1600000E+002, 8.8000175E+001, 9.6408457E-001, 1.4592479E-004, 5.7910508E-028, 4.6273583E-001
 8.2800000E+002, 8.9000168E+001, 9.6230894E-001, 1.4998818E-004, 9.3880996E-028, 4.7228605E-001
 8.4000000E+002, 9.0000160E+001, 9.6048552E-001, 1.5387102E-004, 1.5178978E-027, 4.8136765E-001
 8.5200000E+002, 9.1000160E+001, 9.5861685E-001, 1.5754122E-004, 2.4477179E-027, 4.8990101E-001
 8.6400000E+002, 9.2000153E+001, 9.5670551E-001, 1.6096560E-004, 3.9368030E-027, 4.9780414E-001
 8.7600000E+002, 9.3000153E+001, 9.5475471E-001, 1.6411033E-004, 6.3153693E-027, 5.0499344E-001
 8.8800000E+002, 9.4000145E+001, 9.5276809E-001, 1.6694114E-004, 1.0104988E-026, 5.1138437E-001
 9.0000000E+002, 9.5000145E+001, 9.5074952E-001, 1.6942376E-004, 1.6127386E-026, 5.1689249E-001
 9.1200000E+002, 9.6000145E+001, 9.4870341E-001, 1.7152433E-004, 2.5673925E-026, 5.2143466E-001
 9.2400000E+002, 9.7000137E+001, 9.4663459E-001, 1.7320990E-004, 4.0768960E-026, 5.2493006E-001
 9.3600000E+002, 9.8000137E+001, 9.4454813E-001, 1.7444899E-004, 6.4578040E-026, 5.2730173E-001
 9.4800000E+002, 9.9000137E+001, 9.4244969E-001, 1.7521203E-004, 1.0203911E-025, 5.2847755E-001
 9.6000000E+002, 1.0000014E+002, 9.4034505E-001, 1.7547210E-004, 1.6083617E-025, 5.2839226E-001
 9.7200000E+002, 1.0100014E+002, 9.3824047E-001, 1.7520545E-004, 2.5289752E-025, 5.2698851E-001
 9.8400000E+002, 1.0200014E+002, 9.3614233E-001, 1.7439215E-004, 3.9669584E-025, 5.2421868E-001
 9.9600000E+002, 1.0300014E+002, 9.3405730E-001, 1.7301671E-004, 6.2077087E-025, 5.2004647E-001
 1.0080000E+003, 1.0400014E+002, 9.3199223E-001, 1.7106871E-004, 9.6911168E-025, 5.1444805E-001
 1.0200000E+003, 1.0500015E+002, 9.2995399E-001, 1.6854331E-004, 1.5093620E-024, 5.0741380E-001
 1.0320000E+003, 1.0600015E+002, 9.2794955E-001, 1.6544182E-004, 2.3452985E-024, 4.9894944E-001
 1.0440000E+003, 1.0700016E+002, 9.2598569E-001, 1.6177208E-004, 3.6357660E-024, 4.8907697E-001
 1.0560000E+003, 1.0800017E+002, 9.2406929E-001, 1.5754886E-004, 5.6233464E-024, 4.7783577E-001
 1.0680000E+003, 1.0900018E+002, 9.2220670E-001, 1.5279400E-004, 8.6776601E-024, 4.6528274E-001
 1.0800000E+003, 1.1000018E+002, 9.2040426E-001, 1.4753656E-004, 1.3360634E-023, 4.5149282E-001
 1.0920000E+003, 1.1100018E+002, 9.1866773E-001, 1.4181269E-004, 2.0524654E-023, 4.3655866E-001
 1.1040000E+003, 1.1200020E+002, 9.1700250E-001, 1.3566548E-004, 3.1459839E-023, 4.2058983E-001
 1.1160000E+003, 1.1300021E+002, 9.1541332E-001, 1.2914445E-004, 4.8114564E-023, 4.0371197E-001
 1.1280000E+003, 1.1400021E+002, 9.1390437E-001, 1.2230496E-004, 7.3424920E-023, 3.8606521E-001
 1.1400000E+003, 1.1500022E+002, 9.1247910E-001, 1.1520751E-004, 1.1180586E-022, 3.6780208E-001
 1.1520000E+003, 1.1600024E+002, 9.1114026E-001, 1.0791665E-004, 1.6988192E-022, 3.4908521E-001
 1.1640000E+003, 1.1700024E+002, 9.0988970E-001, 1.0050002E-004, 2.5757185E-022, 3.3008444E-001
 1.1760000E+003, 1.1800025E+002, 9.0872854E-001, 9.3026945E-005, 3.8969555E-022, 3.1097379E-001
 1.1880000E+003, 1.1900026E+002, 9.0765709E-001, 8.5567211E-005, 5.8834943E-022, 2.9192793E-001
 1.2000000E+003, 1.2000027E+002, 9.0667468E-001, 7.8189572E-005, 8.8641086E-022, 2.7311879E-001
 1.2120000E+003, 1.2100028E+002, 9.0578002E-001, 7.0960348E-005, 1.3326973E-021, 2.5471193E-001
 1.2240000E+003, 1.2200029E+002, 9.0497088E-001, 6.3942010E-005, 1.9995468E-021, 2.3686282E-001
 1.2360000E+003, 1.2300030E+002, 9.0424436E-001, 5.7191850E-005, 2.9939324E-021, 2.1971390E-001
 1.2480000E+003, 1.2400031E+002, 9.0359706E-001, 5.0760773E-005, 4.4737268E-021, 2.0339136E-001
 1.2600000E+003, 1.2500032E+002, 9.0302473E-001, 4.4692300E-005, 6.6714568E-021, 1.8800263E-001
 1.2720000E+003, 1.2600033E+002, 9.0252292E-001, 3.9021746E-005, 9.9289235E-021, 1.7363459E-001
 1.2840000E+003, 1.2700034E+002, 9.0208656E-001, 3.3775694E-005, 1.4747570E-020, 1.6035195E-001
 1.2960000E+003, 1.2800034E+002, 9.0171057E-001, 2.8971715E-005, 2.1861606E-020, 1.4819686E-001
 1.3080000E+003, 1.2900035E+002, 9.0138948E-001, 2.4618397E-005, 3.2343967E-020, 1.3718897E-001
 1.3200000E+003, 1.3000035E+002, 9.0111798E-001, 2.0715657E-005, 4.7759580E-020, 1.2732615E-001
 1.3320000E+003, 1.3100035E+002, 9.0089059E-001, 1.7255319E-005, 7.0386595E-020, 1.1858612E-001
 1.3440000E+003, 1.3200035E+002, 9.0070218E-001, 1.4221935E-005, 1.0353517E-019, 1.1092824E-001
 1.3560000E+003, 1.3300037E+002, 9.0054768E-001, 1.1593797E-005, 1.5200589E-019, 1.0429654E-001
 1.3680000E+003, 1.3400037E+002, 9.0042239E-001, 9.3441040E-006, 2.2274790E-019, 9.8622270E-002
 1.3800000E+003, 1.3500037E+002, 9.0032202E-001, 7.4422078E-006, 3.2580186E-019, 9.3827158E-002
 1.3920000E+003, 1.3600037E+002, 9.0024257E-001, 5.8548885E-006, 4.7564855E-019, 8.9826696E-002
 1.4040000E+003, 1.3700037E+002, 9.0018040E-001, 4.5475963E-006, 6.9313434E-019, 8.6533144E-002
 1.4160000E+003, 1.3800037E+002, 9.0013248E-001, 3.4856059E-006, 1.0082150E-018, 8.3858497E-002
 1.4280000E+003, 1.3900037E+002, 9.0009594E-001, 2.6350403E-006, 1.4638585E-018, 8.1716955E-002
 1.4400000E+003, 1.4000038E+002, 9.0006852E-001, 1.9637262E-006, 2.1215880E-018, 8.0027305E-002
 1.4520000E+003, 1.4100038E+002, 9.0004820E-001, 1.4418619E-006, 3.0693380E-018, 7.8714132E-002
 1.4640000E+003, 1.4200038E+002, 9.0003341E-001, 1.0424903E-006, 4.4325710E-018, 7.7709481E-002
 1.4760000E+003, 1.4300038E+002, 9.0002280E-001, 7.4177916E-007, 6.3899810E-018, 7.6953210E-002
 1.4880000E+003, 1.4400038E+002, 9.0001529E-001, 5.1912474E-007, 9.1956378E-018, 7.6393276E-002
 1.5000000E+003, 1.4500038E+002, 9.0001011E-001, 3.5710426E-007, 1.3210158E-017, 7.5986043E-002
 1.5120000E+003, 1.4600038E+002, 9.0000653E-001, 2.4130574E-007, 1.8944514E-017, 7.5695015E-002
 1.5240000E+003, 1.4700038E+002, 9.0000415E-001, 1.6006771E-007, 2.7121494E-017, 7.5490877E-002
 1.5360000E+003, 1.4800038E+002, 9.0000260E-001, 1.0416173E-007, 3.8761779E-017, 7.5350419E-002
 1.5480000E+003, 1.4900038E+002, 9.0000159E-001, 6.6447164E-008, 5.5304316E-017, 7.5255692E-002
 1.5600000E+003, 1.5000038E+002, 9.0000093E-001, 4.1523542E-008, 7.8774349E-017, 7.5193070E-002
 1.5720000E+003, 1.5100038E+002, 9.0000057E-001, 2.5400245E-008, 1.1201758E-016, 7.5152561E-002
 1.5840000E+003, 1.5200038E+002, 9.0000033E-001, 1.5197520E-008, 1.5902606E-016, 7.5126976E-002
